t,repeatability,bigint_repeatability,contributionS,thisS
283,1806932232,1806932232 (e0),41390139013590528 (e0),3403569873892646533 (e0)
284,1802485313,1802485313 (e0),41725957821301125 (e0),3445295831713947658 (e0)
285,1798045696,1798045696 (e0),42062862484504576 (e0),3487358694198452234 (e0)
286,1793613375,1793613375 (e0),42400846204502625 (e0),3529759540402954859 (e0)
287,1789188344,1789188344 (e0),42739902145363968 (e0),3572499442548318827 (e0)
288,1784770597,1784770597 (e0),43080023434258693 (e0),3615579465982577520 (e0)
289,1780360128,1780360128 (e0),43421203161792000 (e0),3659000669144369520 (e0)
290,1775956931,1775956931 (e0),43763434382337201 (e0),3702764103526706721 (e0)
291,1771561000,1771561000 (e0),44106710114368000 (e0),3746870813641074721 (e0)
292,1767172329,1767172329 (e0),44451023340790053 (e0),3791321836981864774 (e0)
293,1762790912,1762790912 (e0),44796367009271808 (e0),3836118203991136582 (e0)
294,1758416743,1758416743 (e0),45142734032574625 (e0),3881260938023711207 (e0)
295,1754049816,1754049816 (e0),45490117288882176 (e0),3926751055312593383 (e0)
296,1749690125,1749690125 (e0),45838509622129125 (e0),3972589564934722508 (e0)
297,1745337664,1745337664 (e0),46187903842329088 (e0),4018777468777051596 (e0)
298,1740992427,1740992427 (e0),46538292725901873 (e0),4065315761502953469 (e0)
299,1736654408,1736654408 (e0),46889669016000000 (e0),4112205430518953469 (e0)
300,1732323601,1732323601 (e0),47242025422834501 (e0),4159447455941787970 (e0)
301,1728000000,1728000000 (e0),47595354624000000 (e0),4207042810565787970 (e0)
302,1723683599,1723683599 (e0),47949649264799073 (e0),4254992459830587043 (e0)
303,1719374392,1719374392 (e0),48304901958565888 (e0),4303297361789152931 (e0)
304,1715072373,1715072373 (e0),48661105286989125 (e0),4351958467076142056 (e0)
305,1710777536,1710777536 (e0),49018251800434176 (e0),4400976718876576232 (e0)
306,1706489875,1706489875 (e0),49376334018264625 (e0),4450353052894840857 (e0)
307,1702209384,1702209384 (e0),49735344429163008 (e0),4500088397324003865 (e0)
308,1697936057,1697936057 (e0),50095275491450853 (e0),4550183672815454718 (e0)
309,1693669888,1693669888 (e0),50456119633408000 (e0),4600639792448862718 (e0)
310,1689410871,1689410871 (e0),50817869253591201 (e0),4651457661702453919 (e0)
